NAME,25th,75th,Total
University of Washington--Bothell,1030,1250,2000
McDaniel College,1050,1230,2000
Carroll University,1050,1230,2000
CUNY--Queens College,1060,1220,2000
SUNY--Plattsburgh,1050,1230,2000
University of Louisiana at Lafayette,1030,1250,2000
University of South Alabama,1040,1240,2000
University of Wyoming,1050,1280,2000
Bethel University (MN),1033,1286,2000
Loyola University New Orleans,1060,1240,2000
Seattle Pacific University,1030,1240,2000
Maryville University of St. Louis,1020,1240,2000
Towson University,1060,1200,2000
Robert Morris University,1030,1200,2000
Indiana University-Purdue University--Indianapolis,1000,1200,2000
California State University--Fresno,920,1120,2000
Roanoke College,1040,1230,2000
Centenary College,1050,1220,2000
Oregon Tech,1030,1240,2000
Carthage College,1020,1250,2000
Abilene Christian University,1040,1230,2000
St. Mary's University of Minnesota,1030,1240,2000
Northwest Nazarene University,1020,1250,2000
Florida Gulf Coast University,1060,1210,2000
Southeast Missouri State University,1030,1240,2000
Grace College and Seminary,1020,1250,2000
Northwestern Oklahoma State University,1030,1240,2000
Mississippi College,1030,1236,2000
Maranatha Baptist University,1043,1218,2000
Randolph-Macon College,1020,1240,2000
Birmingham-Southern College,1040,1220,2000
Saint Vincent College,1030,1230,2000
Hartwick College,1070,1190,2000
Alma College,1040,1220,2000
California State University--Fullerton,1040,1220,2000
Southern Utah University,1010,1250,2000
SUNY College--Cortland,1060,1200,2000
Georgia Southern University,1060,1200,2000
Middle Tennessee State University,1020,1240,2000
University of Texas at San Antonio,1040,1220,2000
University of Toledo,1020,1240,2000
MCPHS University,1030,1230,2000
Savannah College of Art and Design,1030,1230,2000
University of North Georgia,1025,1230,2000
Spring Arbor University,1025,1230,2000
Northwest University,1030,1225,2000
Queens University of Charlotte,1033,1218,2000
Webster University,1008,1243,2000
Albion College,1010,1240,2000
Moravian College,1050,1200,2000
Flagler College,1030,1220,2000
Massachusetts Maritime Academy,1050,1200,2000
Mills College,1008,1240,2000
Suffolk University,1030,1220,2000
Concordia University (CA),1030,1220,2000
West Chester University of Pennsylvania,1050,1200,2000
University of New Haven,1030,1220,2000
York College of Pennsylvania,1020,1230,2000
Boise State University,1030,1220,2000
Marymount Manhattan College,1030,1220,2000
Oakland University,1010,1240,2000
Trevecca Nazarene University,1010,1240,2000
Minneapolis College of Art and Design,1030,1220,2000
